speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,brakeTorque
74.68558235,0.180644216,3.7,7.631948389,4.277472258,1,12,15588.95686,18.01680502,39.44204141,855.0253146,427.5126573,0,69.84496782,0,56.39402819,1,95.81857593,1.64,1.74,3.762453274,3.950035288,0.787838906,4.037182572,0.066094632,0,2866.075315,0
74.75972231,0.185464424,3.8,7.71671272,4.272519865,1,12,15604.43193,18.01532932,39.47796152,856.7237148,428.3618574,0,69.78259363,0,55.88535641,1,95.81857593,1.64,1.74,3.877208654,3.986974751,0.802515572,4.144836924,0.071641571,0,2867.773715,0
74.83370299,0.190279851,3.9,7.803016389,4.267573765,1,12,15619.87376,18.01385679,39.51379808,858.4201461,429.2100731,0,69.72028399,0,55.37668463,1,95.81857593,1.64,1.74,3.992926481,4.024576633,0.817717675,4.25238236,0.077398891,0,2869.470146,0
74.90752499,0.195090518,4,7.890902231,4.262633949,1,12,15635.28246,18.01238742,39.5495514,860.1146112,430.0573056,0,69.65803886,0,54.86801285,1,95.81857593,1.64,1.74,4.109624538,4.062861183,0.833387333,4.359818356,0.083367982,0,2871.164611,0
74.98118888,0.199896443,4.1,7.980414686,4.257700404,1,12,15650.65816,18.0109212,39.5852218,861.8071125,430.9035563,0,69.59585816,0,54.35934107,1,95.81857593,1.64,1.74,4.227321105,4.101848212,0.849516292,4.467144374,0.08955026,0,2872.857113,0
75.05469524,0.204697648,4.2,8.071599872,4.25277312,1,12,15666.00098,18.00945811,39.62080961,863.4976526,431.7488263,0,69.53374184,0,53.85066929,1,95.81857593,1.64,1.74,4.346034976,4.141557886,0.866113397,4.574359867,0.095947171,0,2874.547653,0
75.12804463,0.20949415,4.3,8.164505666,4.247852086,1,12,15681.31104,18.00799815,39.65631515,865.1862339,432.5931169,0,69.47168984,0,53.34199751,1,95.81857593,1.64,1.74,4.465785483,4.182011004,0.883193745,4.681464274,0.102560186,0,2876.236234,0
75.20123763,0.214285969,4.4,8.259181789,4.242937292,1,12,15696.58845,18.00654129,39.69173872,866.8728589,433.4364295,0,69.4097021,0,52.83332573,1,95.81857593,1.64,1.74,4.58659251,4.223229124,0.900775112,4.78845702,0.109390807,0,2877.922859,0
75.27427479,0.219073124,4.5,8.355679895,4.238028726,1,12,15711.83334,18.00508755,39.72708065,868.5575302,434.2787651,0,69.34777856,0,52.32465395,1,95.81857593,1.64,1.74,4.708476521,4.265234626,0.9188768,4.89533752,0.116440568,0,2879.60753,0
75.34715669,0.223855634,4.6,8.454053669,4.23312638,1,12,15727.04582,18.0036369,39.76234124,870.2402502,435.1201251,0,69.28591917,0,51.81598218,1,95.81857593,1.64,1.74,4.831458579,4.308050765,0.937519271,5.002105173,0.12371103,0,2881.29025,0
75.41988387,0.228633519,4.7,8.554358921,4.228230242,1,12,15742.226,18.00218932,39.79752081,871.9210214,435.9605107,0,69.22412385,0,51.3073104,1,95.81857593,1.64,1.74,4.955560368,4.351701717,0.956724079,5.108759364,0.131203788,0,2882.971021,0
75.4924569,0.233406796,4.8,8.656653698,4.223340301,1,12,15757.37401,18.00074482,39.83261966,873.5998463,436.7999232,0,69.16239256,0,50.79863862,1,95.81857593,1.64,1.74,5.080804223,4.396212625,0.976513893,5.215299467,0.13892047,0,2884.649846,0
75.56487631,0.238175484,4.9,8.760998397,4.218456545,1,12,15772.48995,17.99930337,39.86763808,875.2767274,437.6383637,0,69.10072523,0,50.28996684,1,95.81857593,1.64,1.74,5.20721315,4.441609648,0.996912535,5.321724835,0.146862737,0,2886.326727,0
75.63714267,0.242939602,5,8.86745588,4.213578966,1,12,15787.57395,17.99786497,39.9025764,876.9516671,438.4758336,0,69.0391218,0,49.78129506,1,95.81857593,1.64,1.74,5.33481086,4.487920018,1.017945053,5.428034812,0.155032285,0,2888.001667,0
75.70925651,0.247699169,5.1,8.976091609,4.208707551,1,12,15802.62611,17.99642961,39.93743491,878.6246679,439.312334,0,68.97758222,0,49.27262328,1,95.81857593,1.64,1.74,5.463621791,4.535172087,1.039637803,5.534228721,0.163430844,0,2889.674668,0
75.78121838,0.252454201,5.2,9.086973774,4.203842291,1,12,15817.64656,17.99499727,39.97221392,880.2957324,440.1478662,0,68.91610643,0,48.7639515,1,95.81857593,1.64,1.74,5.593671142,4.583395393,1.062018501,5.64030587,0.172060184,0,2891.345732,0
75.85302881,0.257204719,5.3,9.200173442,4.198983177,1,12,15832.63539,17.99356795,40.00691371,881.9648628,440.9824314,0,68.85469436,0,48.25527972,1,95.81857593,1.64,1.74,5.724984908,4.63262072,1.085116356,5.746265552,0.180922111,0,2893.014863,0
75.92468835,0.261950739,5.4,9.315764708,4.194130197,1,12,15847.59273,17.99214163,40.04153459,883.6320618,441.8160309,0,68.79334596,0,47.74660794,1,95.81857593,1.64,1.74,5.857589906,4.682880163,1.108962119,5.852107038,0.190018471,0,2894.682062,0
75.99619752,0.26669228,5.5,9.433824859,4.18928334,1,12,15862.51868,17.99071831,40.07607685,885.2973317,442.6486658,0,68.73206117,0,47.23793616,1,95.81857593,1.64,1.74,5.991513815,4.734207199,1.133588214,5.957829584,0.199351149,0,2896.347332,0
76.06755684,0.271429359,5.6,9.554434545,4.184442597,1,12,15877.41335,17.98929796,40.11054078,886.960675,443.4803375,0,68.67083992,0,46.72926438,1,95.81857593,1.64,1.74,6.126785214,4.786636765,1.159028836,6.063432425,0.208922072,0,2898.010675,0
