speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,kW,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
69.8336196253952,0.108597413706714,2.1,6.05445799035779,3.44145844496388,1,14.3,17369.992385852,16.4896210527318,29.994313148263,747.54017118881,373.770085594405,0,75.8271603615424,0,62.1511021268601,1,80.4330180963244,1.64,1.74,2.02522460431691,3.39059484204187,0.314543365783628,2.30207788269105,0.00509328019093708,0,3690.54017118881,
69.8973880565029,0.113752523837495,2.2,6.09009264500548,3.43609595839669,1,14.3,17385.8537599114,16.4800282834386,30.0042373937487,748.90602416337,374.453012081685,0,75.7688970996874,0,61.9003341679494,1,80.4330180963244,1.64,1.74,2.13033583149925,3.40620895528466,0.317181606932559,2.41101739491301,0.00739873721988989,0,3691.90602416337,
69.960999087278,0.118902930884308,2.3,6.12599981130723,3.43074452373999,1,14.3,17401.6759831636,16.4704591920852,30.0141053938337,750.269747832573,375.134873916287,0,75.7106698229521,0,61.6495662090388,1,80.4330180963244,1.64,1.74,2.2358354432899,3.42194020684524,0.31985293515188,2.51990292870189,0.00990290390351822,0,3693.26974783257,
70.0244533514603,0.124048654997694,2.4,6.16218286432172,3.42540410381016,1,14.3,17417.4592132411,16.4609136833375,30.0239174817491,751.631346592715,375.815673296358,0,75.6524785619429,0,61.3987982501281,1,80.4330180963244,1.64,1.74,2.34172660852015,3.43779007126144,0.322557891517301,2.6287341014638,0.0126063276263757,0,3694.63134659272,
70.0877514787478,0.129189716195175,2.5,6.19864523434978,3.42007466163792,1,14.3,17433.2036067714,16.4513916624689,30.033673988264,752.990824825231,376.495412412616,0,75.5943233470616,0,61.1480302912174,1,80.4330180963244,1.64,1.74,2.44801253487284,3.45376004627158,0.325297017111742,2.73751052693093,0.0155095600054968,0,3695.99082482523,
70.150894094834,0.134326134362466,2.6,6.23539040807248,3.41475616046645,1,14.3,17448.9093193855,16.4418930353557,30.0433752417088,754.348186896787,377.174093448393,0,75.5362042085068,0,60.8972623323067,1,80.4330180963244,1.64,1.74,2.55469646955765,3.46985165454684,0.328070889710154,2.84623181510973,0.018613156938042,0,3697.34818689679,
70.213881821443,0.139457929254678,2.7,6.27242192971746,3.40944856374956,1,14.3,17464.5765057274,16.4324177084711,30.053021567999,755.703437159358,377.851718579679,0,75.4781211762739,0,60.6464943733961,1,80.4330180963244,1.64,1.74,2.66178169991778,3.48606644319218,0.330880078397839,2.95489757222809,0.0219176786496528,0,3698.70343715936,
70.2767152763654,0.144585120497508,2.8,6.30974340225435,3.40415183514992,1,14.3,17480.2053194625,16.42296558888,30.062613290657,757.056579950322,378.528289975161,0,75.4200742801569,0,60.3957264144854,1,80.4330180963244,1.64,1.74,2.76927155412846,3.50240598489691,0.333725177206862,3.06350740068166,0.0254236897435319,0,3700.05657995032,
70.3393950734934,0.14970772758841,2.9,6.34735848862006,3.39886593853726,1,14.3,17495.7959132868,16.4135365842338,30.0721507308356,758.407619592537,379.203809796268,0,75.3620635497485,0,60.1449584555747,1,80.4330180963244,1.64,1.74,2.87716940185982,3.50792053240657,0.112732062904648,3.17206089897913,0.0291317592502599,0,3701.40761959254,
70.4019218228553,0.154825769897757,3,6.38527091297486,3.39359083798658,1,14.3,17511.348438935,16.4041306027652,30.0816342073393,759.756560394425,379.878280197213,0,75.3040890144416,0,59.8941904966641,1,80.4330180963244,1.64,1.74,2.98547865496506,3.53383795315003,0.530293770458259,3.28055766168654,0.0330424606783647,0,3702.75656039443,
70.46429613065,0.159939266669987,3.1,6.42348446199009,3.38832649777643,1,14.3,17526.8630471893,16.3947475532828,30.0910640366471,761.103406650059,380.551703325029,0,75.2461507034295,0,59.6434225377534,1,80.4330180963244,1.64,1.74,3.09319477410381,3.54754486030274,0.280704970476313,3.38899727937061,0.0371563720656552,0,3704.10340665006,
70.5265185992807,0.16504823702474,3.2,6.51191934719536,3.38307288238718,1,14.3,17542.3398878878,16.3853873451663,30.1004405329337,762.448162639239,381.224081319619,0,75.1882486457072,0,58.9373870869974,1,80.4330180963244,1.64,1.74,3.20252325200198,3.58132948681624,0.69249135728717,3.49729469822662,0.0414687958675376,0,3705.44816263924,
70.5885898273885,0.170152699957973,3.3,6.5801784704488,3.37782995649932,1,14.3,17557.779109933,16.3760498883614,30.1097640080915,763.790832627578,381.895416313789,0,75.1303828700721,0,58.4287153076064,1,80.4330180963244,1.64,1.74,3.31271696454643,3.61388745516778,0.667937551425719,3.60548612939443,0.0459837871347901,0,3706.79083262758,
70.6505104098854,0.175252674343073,3.4,6.64961844716219,3.37259768499174,1,14.3,17573.1808612996,16.3667350933746,30.119034771751,765.131420866581,382.56571043329,0,75.0725534051248,0,57.9200435282154,1,80.4330180963244,1.64,1.74,3.423791062405,3.64640434576691,0.667681945764793,3.71357110987919,0.0507025887346077,0,3708.13142086658,
70.7122809379874,0.180348178931949,3.5,6.72027070200746,3.36737603294012,1,14.3,17588.5452890431,16.3574428712686,30.1282531313028,766.469931593722,383.234965796861,0,75.01476027927,0,57.4113717488244,1,80.4330180963244,1.64,1.74,3.53576109708386,3.67928520646404,0.675747734158377,3.82154916710598,0.0556264664564632,0,3709.46993159372,
70.7739019992463,0.185439232356116,3.6,6.79216778319464,3.36216496561522,1,14.3,17603.8725393076,16.3481731336572,30.1374193919177,767.806369032529,383.903184516265,0,74.9570035207172,0,56.9026999694334,1,80.4330180963244,1.64,1.74,3.64864303523293,3.71267526208468,0.686812366067064,3.92941981862627,0.0607567096152056,0,3710.80636903253,
70.8353741775823,0.190525853127765,3.7,6.86534341314395,3.35696444848127,1,14.3,17619.1627573339,16.3389257927005,30.1465338565671,769.140737392656,384.570368696328,0,74.8992831574815,0,56.3940281900424,1,80.4330180963244,1.64,1.74,3.76245327351034,3.74663349900623,0.699108192720161,4.03718257181285,0.0660946316753328,0,3712.14073739266,
70.8966980533153,0.19560805964082,3.8,6.93983254192512,3.35177444719439,1,14.3,17634.4160874672,16.3297007611001,30.155596826044,770.473040869965,385.236520434983,0,74.8415992173847,0,55.8853564106514,1,80.4330180963244,1.64,1.74,3.87720865418704,3.78119054450407,0.712053973583421,4.1448369235427,0.0716415708973747,0,3713.47304086997,
70.9578742031962,0.200685870171985,3.9,7.015671403642,3.34659492760093,1,14.3,17649.6326731652,16.3204979520948,30.1646085989821,771.803283646603,385.901641823302,0,74.7839517280556,0,55.3766846312604,1,80.4330180963244,1.64,1.74,3.99292648142536,3.8163679771648,0.725464668553616,4.25238235986717,0.0773988910073737,0,3714.8032836466,
71.018903200438,0.20575930288178,4,7.09289757595355,3.34142585573595,1,14.3,17664.8126570052,16.3113172794552,30.1735694718763,773.131469891076,386.565734945538,0,74.7263407169313,0,54.8680128518694,1,80.4330180963244,1.64,1.74,4.10962453832734,3.85218478298231,0.739287844921373,4.35981835566888,0.0833679818904989,0,3716.13146989108,
71.0797856147464,0.210828375815559,4.1,7.17155004293662,3.33626719782163,1,14.3,17679.9561806926,16.3021586574799,30.1824797391019,774.457603758326,387.228801879163,0,74.6687662112577,0,54.3593410724784,1,80.4330180963244,1.64,1.74,4.22732110476413,3.88865952675043,0.753515738547972,4.46714437430466,0.0895502603098939,0,3717.45760375833,
71.1405220123498,0.215893106904524,4.2,7.25166926151161,3.33111892026573,1,14.3,17695.0633850674,16.2930220009903,30.1913396929342,775.781689389809,387.890844694905,0,74.6112282380904,0,53.8506692930874,1,80.4330180963244,1.64,1.74,4.3460349760661,3.92581109747524,0.768155963322317,4.57435986723384,0.0959471706519092,0,3718.78168938981,
71.2011129560296,0.220953513966726,4.3,7.33329723166863,3.32598098966005,1,14.3,17710.1344101126,16.2839072253265,30.2001496235675,777.103730913565,388.551865456782,0,74.5537268242952,0,53.3419975136964,1,80.4330180963244,1.64,1.74,4.46578548256118,3.96365897874853,0.783221746792264,4.68146427363117,0.102560185698944,0,3720.10373091357,
71.2615590051494,0.226009614708049,4.4,7.41647757075057,3.32085337277896,1,14.3,17725.1693949608,16.2748142463427,30.2089098191338,778.423732444295,389.211866222147,0,74.4962619965495,0,52.8333257343054,1,80.4330180963244,1.64,1.74,4.58659251007955,4.00222336234347,0.798728706767282,4.78845701998355,0.10939080743118,0,3721.42373244429,
71.3218607156844,0.231061426723191,4.5,7.50125559206883,3.31573603657786,1,14.3,17740.168477902,16.2657429804028,30.217620565722,779.741698083432,389.870849041716,0,74.4388337813424,0,52.3246539549144,1,80.4330180963244,1.64,1.74,4.70847652145535,4.04152521143079,0.814693816760686,4.89533751966975,0.116440567858578,0,3722.74169808343,
71.3820186402506,0.236108967496631,4.6,7.58767838814978,3.31062894819173,1,14.3,17755.1317963906,16.256693344376,30.226282147396,781.057631919219,390.52881595961,0,74.3814422049757,0,51.8159821755234,1,80.4330180963244,1.64,1.74,4.83145857904127,4.08158630756483,0.831135074541189,5.00210517252226,0.123711029884564,0,3724.05763191922,
71.4420333281331,0.24115225440358,4.7,7.67579491893304,3.30553207493366,1,14.3,17770.0594870523,16.2476652556328,30.2348948462129,782.371538026773,391.185769013387,0,74.324087293565,0,51.3073103961324,1,80.4330180963244,1.64,1.74,4.95556036836743,4.12242929443101,0.848071438705453,5.10875936437032,0.131203788202933,0,3725.37153802677,
71.5019053253143,0.246191304710933,4.8,7.76565610526883,3.30044538429341,1,14.3,17784.9516856917,16.2386586320401,30.2434589422416,783.683420468165,391.841710234082,0,74.2667690730399,0,50.7986386167414,1,80.4330180963244,1.64,1.74,5.08080422296997,4.16407772236881,0.865522848303769,5.21529946656316,0.138920470229588,0,3726.68342046817,
71.5616351745024,0.251226135578196,4.9,7.85731492808957,3.29536884393595,1,14.3,17799.8085272985,16.2296733919577,30.25197471358,784.993283292484,392.496641646242,0,74.2094875691451,0,50.2899668373504,1,80.4330180963244,1.64,1.74,5.20721315044514,4.20655609440327,0.88351025776352,5.32172483547226,0.146862737070798,0,3727.99328329248,
71.6212234151585,0.256256764058416,5,7.95082653366151,3.2903024217001,1,14.3,17814.6301460551,16.2207094542337,30.2604424363732,786.301130535912,393.150565267956,0,74.152242807441,0,49.7812950579594,1,80.4330180963244,1.64,1.74,5.33481085986101,4.24988991494303,0.90205569605569,5.42803481197178,0.155032284529808,0,3729.30113053591,
71.6806705835244,0.261283207099095,5.1,8.04624834535587,3.28524608559707,1,14.3,17829.4166753431,16.2117667382007,30.2688623848305,787.606966221792,393.803483110896,0,74.0950348133047,0,49.2726232785684,1,80.4330180963244,1.64,1.74,5.46362179057265,4.29410574208787,0.921182345755926,5.53422872089563,0.163430844153695,0,3730.60696622179,
71.7399772126496,0.266305481543089,5.2,8.14364018241544,3.28019980380913,1,14.3,17844.1682477499,16.2028451636712,30.2772348312433,788.910794360698,394.455397180349,0,74.0378636119302,0,48.7639514991774,1,80.4330180963244,1.64,1.74,5.59367114249294,4.33923124168837,0.940914583723674,5.64030587047018,0.172060184322504,0,3731.9107943607,
71.7991438324177,0.271323604129508,5.3,8.24306438623295,3.27516354468818,1,14.3,17858.8849950756,16.1939446509341,30.2855600460015,790.212618950502,395.106309475251,0,73.9807292283298,0,48.2552797197864,1,80.4330180963244,1.64,1.74,5.72498490800636,4.38529524676699,0.961278097254675,5.74626555172106,0.18092211138283,0,3733.2126189505,
71.8581709695736,0.276337591494598,5.4,8.34458595470122,3.27013727675446,1,14.3,17873.5670483396,16.1850651207506,30.2938382976107,791.512443976444,395.756221988222,0,73.9236316873342,0,47.7466079403954,1,80.4330180963244,1.64,1.74,5.85758990550959,4.4323278190284,0.982299932416044,5.85210703785278,0.190018470828113,0,3734.51244397644,
71.9170591477492,0.281347460172614,5.5,8.44827268524375,3.26512096869515,1,14.3,17888.2145377869,16.17620649435,30.3020698527092,792.8102734112,396.4051367056,0,73.8665710135938,0,47.2379361610044,1,80.4330180963244,1.64,1.74,5.99151381480917,4.48036031532314,1.00400860242959,5.95782958359939,0.199351148528099,0,3735.8102734112,
71.9758088874895,0.286353226596689,5.6,8.55419532718696,3.26011458936307,1,14.3,17902.8275928946,16.167368693426,30.3102549760838,794.106111214947,397.053055607473,0,73.8095472315789,0,46.7292643816134,1,80.4330180963244,1.64,1.74,6.12678521440394,4.5294254583194,1.0264341809414,6.06343242454478,0.208922072010032,0,3737.10611121495,
