speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,kW,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
66.8226386746051,0.0524833074667044,1,5.30803336701397,3.32020902638376,1,12,13947.7419744355,18.7494176980042,27.3854768129612,684.467247480339,342.23362374017,0,76.8034451073773,0,64.9095496748775,1,95.7438560036184,1.64,1.74,0.893765292037632,3.11869739356406,0.275495518745289,1.10028656452812,-0.00730436281923921,0,3627.46724748034,
66.8869511916168,0.0578707032227001,1.1,5.33888150828601,3.31599698034821,1,12,13961.165784252,18.7421188493781,27.401162594663,685.785393411061,342.892696705531,0,76.7497222575554,0,64.6587817159668,1,95.7438560036184,1.64,1.74,0.994802917329948,3.13277997530825,0.273736064417124,1.20979558980565,-0.00714974944186714,0,3628.78539341106,
66.9511203976551,0.0632529189402124,1.2,5.36995678049629,3.31179209281392,1,12,13974.5596810852,18.7348362651613,27.4167929709108,687.101865833418,343.550932916709,0,76.6960345385992,0,64.4080137570561,1,95.7438560036184,1.64,1.74,1.09619646500991,3.14689490365437,0.274628873593362,1.31925461665668,-0.00680218124872928,0,3630.10186583342,
67.0151468432546,0.0686299760807321,1.3,5.40126186935163,3.30759434256417,1,12,13987.9237798468,18.7275698828735,27.432368212417,688.416667600299,344.20833380015,0,76.6423819566472,0,64.1572457981455,1,95.7438560036184,1.64,1.74,1.1979487150393,3.1610885043256,0.276424510231933,1.4286632997261,-0.00626115445883113,0,3631.4166676003,
67.0790310755197,0.074001895966874,1.4,5.43279950264634,3.30340370849832,1,12,14001.2581947329,18.7197697749183,27.4470823706736,689.729801556069,344.864900778035,0,76.5880768473643,0,63.9064778392348,1,95.7438560036184,1.64,1.74,1.30006248000957,3.17537699878305,0.278538710987358,1.53802129049905,-0.00552616153940014,0,3632.72980155607,
67.1427709073484,0.0793686997836241,1.5,5.46457200658552,3.29907882715343,1,12,14014.5624692344,18.710427406791,27.459452261262,691.041214325061,345.52060716253,0,76.5318506419397,0,63.6557098803241,1,95.7438560036184,1.64,1.74,1.40254060563943,3.18976650554134,0.280775238945364,1.64732823725813,-0.00459669116526097,0,3634.04121432506,
67.2063591569086,0.084730408797641,1.6,5.49658092596427,3.29436054985877,1,12,14027.8351043033,18.7011072561266,27.4717667953468,692.350749469574,346.175374734787,0,76.4756600041423,0,63.4049419214135,1,95.7438560036184,1.64,1.74,1.50538597134677,3.20425986906846,0.283070467914611,1.75658378503985,-0.00347222817762871,0,3635.35074946957,
67.2697964289044,0.0900870447546566,1.7,5.52882910574643,3.28965130068133,1,12,14041.0762261582,18.6918092342936,27.4840262749475,693.658410595464,346.829205297732,0,76.4195049531531,0,63.1541739625028,1,95.7438560036184,1.64,1.74,1.60860149070938,3.21885877470434,0.285401852108815,1.8657875755903,-0.00215225354230906,0,3636.65841059546,
67.333083324174,0.0954386292563352,1.8,5.56131943616831,3.28495105046808,1,12,14054.2859602108,18.6825332532268,27.4962309999164,694.964201296846,347.482100648423,0,76.3633855079887,0,62.9034060035921,1,95.7438560036184,1.64,1.74,1.7121901120662,3.2335646584152,0.287764593932145,1.97493924732009,-0.000636244307294958,0,3637.96420129685,
67.3962204397247,0.100785183761597,1.9,5.59405485364523,3.28025977023235,1,12,14067.4644310731,18.6732792254227,27.508381267959,696.268125156159,348.13406257808,0,76.3073016875021,0,62.6526380446814,1,95.7438560036184,1.64,1.74,1.81615481904899,3.24837888664293,0.290157399642658,2.08403843525853,0.00107632644025101,0,3639.26812515616,
67.4592083687669,0.106126729587923,2,5.62703834169998,3.27557743115246,1,12,14080.6117625645,18.6640470639343,27.5204773746539,697.570185744237,348.785092872118,0,76.2512535103833,0,62.4018700857708,1,95.7438560036184,1.64,1.74,1.92049863115392,3.26330281681856,0.292580156424454,2.19308477100691,0.00298598961764001,0,3640.57018574424,
67.5220477007489,0.111463287912653,2.1,5.66027293191368,3.27090400457026,1,12,14093.7280777193,18.6548366823659,27.532519613473,698.870386620371,349.435193310185,0,76.1952409951604,0,62.1511021268601,1,95.7438560036184,1.64,1.74,2.02522460431691,3.27833781779028,0.295033151364019,2.30207788269105,0.00509328019093708,0,3641.87038662037,
67.5847390213898,0.116794879774254,2.2,5.69376170489978,3.26623946198975,1,12,14106.8134987933,18.6456479948684,27.5445082758007,700.168731332379,350.08436566619,0,76.1392641602001,0,61.9003341679494,1,95.7438560036184,1.64,1.74,2.13033583149925,3.2934852769143,0.297516811362856,2.41101739491301,0.00739873721988989,0,3643.16873133238,
67.6472829127135,0.122121526073592,2.3,5.72750779130182,3.26158377507569,1,12,14119.8681472712,18.6364809161345,27.5564436509538,701.465223416673,350.732611708336,0,76.0833230237084,0,61.6495662090388,1,95.7438560036184,1.64,1.74,2.2358354432899,3.30874660258047,0.300031614031152,2.51990292870189,0.00990290390351822,0,3644.46522341667,
67.7096799530815,0.127443247575171,2.4,5.76151437281567,3.25693691565222,1,12,14132.892143873,18.6273353613935,27.5683260262004,702.759866398316,351.379933199158,0,76.0274176037316,0,61.3987982501281,1,95.7438560036184,1.64,1.74,2.34172660852015,3.32412322591998,0.302578071814202,2.6287341014638,0.0126063276263757,0,3645.75986639832,
67.7719307172249,0.132760064908372,2.5,5.79578468323683,3.2522988557015,1,12,14145.8856085611,18.6182112464068,27.5801556867791,704.052663791095,352.026331895548,0,75.9715479181566,0,61.1480302912174,1,95.7438560036184,1.64,1.74,2.44801253487284,3.33961660064886,0.305156695426541,2.73751052693093,0.0155095600054968,0,3647.0526637911,
67.8340357762775,0.138071998568667,2.6,5.83032200953372,3.24766956736239,1,12,14158.8486605469,18.6091084874633,27.5919329159173,705.343619097582,352.671809548791,0,75.9157139847121,0,60.8972623323067,1,95.7438560036184,1.64,1.74,2.55469646955765,3.35522820471417,0.307768029364466,2.84623181510973,0.018613156938042,0,3648.34361909758,
67.8959956978069,0.143379068918827,2.7,5.86512969294749,3.24304902292911,1,12,14171.7814182977,18.6000270013744,27.6036579948504,706.632735809193,353.316367904597,0,75.8599158209691,0,60.6464943733961,1,95.7438560036184,1.64,1.74,2.66178169991778,3.37095953980311,0.310412609881724,2.95489757222809,0.0219176786496528,0,3649.63273580919,
